id,Y,X,altitude,name,top,bottom,xx,tt,zz,t
Z15,39485160.93,3851915.71,36.73,9煤,286.95,287.3,石炭系,上石炭统,太原组,-1
Z17,39484670.85,3851752.66,37.56,9煤,310.3,310.67,石炭系,上石炭统,太原组,-1
Z68,39482737.02,3851418.06,38.2,9煤,275.49,275.85,石炭系,上石炭统,太原组,-1
Z34,39480895.0,3850804.04,38.71,9煤,320.59,320.86,石炭系,上石炭统,太原组,-1
Z37,39480304.59,3850769.02,39.47,9煤,309.2,309.62,石炭系,石炭统,太原组,-1
Z50,39478181.56,3851102.2,38.28,9煤,494.9,495.45,石炭系,上石炭统,太原组,-1
Z31,39481757.93,3851151.03,38.8,9煤,330.94,331.27,石炭系,上石炭统,太原组,-1
Z65,39484801.52,3853451.44,38.23,9煤,666.25,666.5,石炭系,上石炭统,太原组,-1
Z12,39485594.02,3852217.16,36.6,9煤,315.59,317.77,二叠系,下二叠统,山西组,-1
Z28,39482546.22,3852280.13,37.84,9煤,641.75,642.5,石炭系,上石炭统,太原组,-1
Z55,39482941.04,3852434.81,38.13,9煤,604.2,604.68,石炭系,上石炭统,太原组,-1
Z63,39482008.59,3852082.86,37.76,9煤,608.14,608.5,,,,-1
Z67,39483402.26,3852917.81,37.53,9煤,727.17,727.5,石炭系,上石炭统,太原组,-1
Z1,39488088.44,3853284.63,37.2,9煤,602.75,606.63,二叠系,下二叠统,山西组,9
Z13,39480564.63,3851919.48,38.98,9煤,554.99,557.39,二叠系,下二叠统,山西组,9
Z14,39485524.95,3852578.63,37.31,9煤,461.68,465.78,二叠系,下二叠统,山西组,8
Z16,39483790.33,3853224.42,37.07,9煤,611.6,615.83,二叠系,下二叠统,山西组,8
Z18,39484579.68,3852095.66,37.89,9煤,325.55,329.55,二叠系,下二叠统,山西组,8
Z19,39480090.83,3851656.04,38.91,9煤,573.61,577.35,二叠系,下二叠统,山西组,8
Z2,39481103.75,3851767.21,38.66,9煤,509.09,512.26,二叠系,下二叠统,山西组,9
Z20,39484473.89,3852586.33,37.87,9煤,479.85,483.85,二叠系,下二叠统,山西组,8
Z23,39483571.82,3852193.78,38.15,9煤,367.53,371.55,二叠系,下二叠统,山西组,8
Z24,39483501.3,3852522.8,38.23,9煤,506.7,510.6,二叠系,下二叠统,山西组,8
Z26,39482693.47,3851639.3,38.06,9煤,291.07,294.57,二叠系,下二叠统,山西组,8
Z27,39482626.91,3851919.79,38.19,9煤,406.09,409.81,二叠系,下二叠统,山西组,8
Z3,39487573.63,3853146.38,36.78,9煤,600.8,604.9,二叠系,下二叠统,山西组,9
Z30,39483546.3,3852311.26,38.25,9煤,412.27,416.2,二叠系,下二叠统,山西组,8
Z32,39481631.88,3851810.89,37.82,9煤,530.26,532.33,,,,9
Z35,39480840.42,3851017.38,38.68,9煤,312.05,316.45,二叠系,下二叠统,山西组,8
Z36,39480829.33,3851501.7,38.01,9煤,527.32,529.47,下二叠系,下二叠统,山西组,8
Z38,39480224.97,3851072.61,38.74,9煤,325.35,328.28,,,,9
Z4,39487483.9,3853585.4,37.33,9煤,710.43,714.35,二叠系,下二叠统,山西组,9
Z40,39479866.22,3850932.72,39.23,9煤,319.71,321.06,二叠系,下二叠统,山西组,9
Z41,39479652.31,3851640.54,38.92,9煤,544.21,548.79,,,,9
Z43,39479287.55,3850995.32,39.22,9煤,368.13,370.83,,,,9
Z44,39479184.14,3851362.04,38.68,9煤,477.62,480.67,,,,9
Z45,39479075.57,3851786.38,38.8,9煤,675.13,678.43,二叠系,下二叠系,山西组,8
Z48,39478667.74,3851225.34,38.1,9煤,453.24,463.54,,,,9
Z49,39481878.68,3851670.65,38.2,9煤,460.15,464.15,二叠系,下二叠统,山西组,8
Z51,39480650.72,3852748.68,38.95,9煤,910.35,913.55,二叠系,下二叠统,山西组,8
Z52,39486757.05,3853900.1,37.27,9煤,851.85,854.2,二叠系,下二叠统,山西组,9
Z53,39484939.3,3852715.0,36.92,9煤,518.12,522.15,二叠系,下二叠统,山西组,8
Z54,39484801.52,3853646.32,37.79,9煤,668.11,671.93,二叠系,下二叠统,山西组,9
Z56,39482686.05,3853381.6,38.56,9煤,863.19,864.72,,,,9
Z58,39488471.36,3853764.18,37.15,9煤,740.87,745.0,二叠系,下二叠统,山西组,9
Z60,39480269.95,3850921.64,39.33,9煤,307.54,311.44,,,,9
Z61,39487884.24,3854091.09,37.22,9煤,812.65,814.2,二叠系,下二叠统,山西组,9
Z64,39485779.46,3853388.1,37.71,9煤,730.35,734.95,二叠系,下二叠统,山西组,8
Z69,39484500.95,3852948.51,37.97,9煤,589.83,593.78,二叠系,下二叠统,山西组,9
Z8,39486511.78,3852370.44,37.38,9煤,275.71,280.21,二叠系,下二叠统,山西组,9
Z9,39486446.43,3852690.36,37.68,9煤,440.75,445.0,二叠系,下二叠统,山西组,9