id,Y,X,altitude,name,top,bottom,xx,tt,zz
Z1,39488088.44,3853284.63,37.2,9煤,602.75,606.63,二叠系,下二叠统,山西组
Z1,39488088.44,3853284.63,37.2,煤,618.65,760.72,二叠系,下二叠统,山西组
Z12,39485594.02,3852217.16,36.6,煤,315.59,451.2,二叠系,下二叠统,山西组
Z13,39480564.63,3851919.48,38.98,9煤,554.99,557.39,二叠系,下二叠统,山西组
Z13,39480564.63,3851919.48,38.98,煤,575.36,575.64,二叠系,下二叠统,山西组
Z14,39485524.95,3852578.63,37.31,煤,485.5,557.57,石炭系,上石炭统,太原组
Z15,39485160.93,3851915.71,36.73,煤,250.55,317.81,石炭系,上石炭统,太原组
Z16,39483790.33,3853224.42,37.07,煤,650.15,650.5,石炭系,上石炭统,太原组
Z17,39484670.85,3851752.66,37.56,煤,299.74,310.67,石炭系,上石炭统,太原组
Z18,39484579.68,3852095.66,37.89,煤,284.75,285.0,二叠系,下二叠统,山西组
Z18,39484579.68,3852095.66,37.89,煤,373.5,373.7,石炭系,上石炭统,太原组
Z19,39480090.83,3851656.04,38.91,煤,517.3,522.2,二叠系,下二叠统,山西组
Z19,39480090.83,3851656.04,38.91,煤,608.15,620.0,石炭系,上石炭统,太原组
Z2,39481103.75,3851767.21,38.66,9煤,509.09,512.26,二叠系,下二叠统,山西组
Z20,39484473.89,3852586.33,37.87,煤,526.0,526.2,石炭系,上石炭统,太原组
Z20,39484473.89,3852586.33,37.87,煤,656.38,656.63,石炭系,上石炭统,太原组
Z22,39483701.5,3851599.62,37.07,煤,276.62,286.23,石炭系,上石炭统,太原组
Z24,39483501.3,3852522.8,38.23,煤,551.54,551.94,石炭系,上石炭统,太原组
Z27,39482626.91,3851919.79,38.19,煤,451.89,636.54,石炭系,上石炭统,太原组
Z28,39482546.22,3852280.13,37.84,煤,641.75,642.5,石炭系,上石炭统,太原组
Z3,39487573.63,3853146.38,36.78,9煤,600.8,604.9,二叠系,下二叠统,山西组
Z3,39487573.63,3853146.38,36.78,煤,643.55,688.6,石炭系,上石炭统,太原组
Z30,39483546.3,3852311.26,38.25,煤,457.3,457.65,石炭系,上石炭统,太原组
Z31,39481757.93,3851151.03,38.8,煤,288.23,386.25,石炭系,上石炭统,太原组
Z32,39481631.88,3851810.89,37.82,9煤,530.26,532.33,,,
Z32,39481631.88,3851810.89,37.82,煤,571.59,681.06,,,
Z34,39480895.0,3850804.04,38.71,煤,320.59,320.86,石炭系,上石炭统,太原组
Z37,39480304.59,3850769.02,39.47,煤,309.2,344.0,石炭系,石炭统,太原组
Z38,39480224.97,3851072.61,38.74,9煤,325.35,328.28,,,
Z38,39480224.97,3851072.61,38.74,煤,386.04,460.61,,,
Z4,39487483.9,3853585.4,37.33,9煤,710.43,714.35,二叠系,下二叠统,山西组
Z4,39487483.9,3853585.4,37.33,煤,602.7,603.03,二叠系,下二叠统,下石盒子组
Z4,39487483.9,3853585.4,37.33,煤,747.42,850.67,石炭系,上石炭统,太原组
Z40,39479866.22,3850932.72,39.23,9煤,319.71,321.06,二叠系,下二叠统,山西组
Z40,39479866.22,3850932.72,39.23,煤,392.22,480.39,石炭系,上石炭统,太原组
Z41,39479652.31,3851640.54,38.92,9煤,544.21,548.79,,,
Z41,39479652.31,3851640.54,38.92,煤,496.24,500.24,,,
Z41,39479652.31,3851640.54,38.92,煤,603.65,657.61,,,
Z41,39479652.31,3851640.54,38.92,煤,718.16,718.61,,,
Z42,39479415.78,3850571.09,39.21,煤,312.27,312.42,石炭系,上石炭统,太原组
Z43,39479287.55,3850995.32,39.22,9煤,368.13,370.83,,,
Z43,39479287.55,3850995.32,39.22,煤,337.8,338.38,,,
Z43,39479287.55,3850995.32,39.22,煤,404.65,456.1,,,
Z43,39479287.55,3850995.32,39.22,煤,518.23,518.77,,,
Z44,39479184.14,3851362.04,38.68,9煤,477.62,480.67,,,
Z44,39479184.14,3851362.04,38.68,煤,431.47,431.7,,,
Z44,39479184.14,3851362.04,38.68,煤,498.19,517.21,,,
Z45,39479075.57,3851786.38,38.8,煤,698.45,698.7,石炭系,上石炭系,太原组
Z45,39479075.57,3851786.38,38.8,煤,774.3,778.15,石炭系,上石炭系,太原组
Z45,39479075.57,3851786.38,38.8,煤,842.8,843.38,石炭系,上石炭系,太原组
Z46,39478850.5,3850497.0,39.42,煤,325.24,386.8,石炭系,上石炭系,太原组
Z47,39478797.66,3850686.92,39.17,煤,311.92,312.17,,,
Z48,39478667.74,3851225.34,38.1,9煤,453.24,463.54,,,
Z5,39487162.06,3852135.03,37.29,煤,317.47,317.67,石炭系,上石炭统,太原组
Z50,39478181.56,3851102.2,38.28,煤,476.95,495.45,石炭系,上石炭统,太原组
Z50,39478181.56,3851102.2,38.28,煤,576.76,577.2,石炭系,上石炭统,太原组
Z52,39486757.05,3853900.1,37.27,9煤,851.85,854.2,二叠系,下二叠统,山西组
Z53,39484939.3,3852715.0,36.92,煤,476.1,476.35,二叠系,下二叠统,山西组
Z53,39484939.3,3852715.0,36.92,煤,561.7,625.55,石炭系,上石炭统,太原组
Z54,39484801.52,3853646.32,37.79,9煤,668.11,671.93,二叠系,下二叠统,山西组
Z55,39482941.04,3852434.81,38.13,煤,604.2,604.68,石炭系,上石炭统,太原组
Z55,39482941.04,3852434.81,38.13,煤,709.35,709.55,石炭系,上石炭统,太原组
Z56,39482686.05,3853381.6,38.56,9煤,863.19,864.72,,,
Z58,39488471.36,3853764.18,37.15,9煤,740.87,745.0,二叠系,下二叠统,山西组
Z59,39478841.57,3852508.07,40.05,煤,971.3,974.7,二叠系,下二叠统,山西组
Z6,39487099.04,3852405.35,36.99,煤,301.4,305.82,二叠系,下二叠统,山西组
Z60,39480269.95,3850921.64,39.33,9煤,307.54,311.44,,,
Z61,39487884.24,3854091.09,37.22,9煤,812.65,814.2,二叠系,下二叠统,山西组
Z63,39482008.59,3852082.86,37.76,煤,608.14,724.06,,,
Z64,39485779.46,3853388.1,37.71,煤,750.5,828.66,石炭系,上石炭统,太原组
Z65,39484801.52,3853451.44,38.23,煤,645.7,666.5,石炭系,上石炭统,太原组
Z67,39483402.26,3852917.81,37.53,煤,727.17,727.5,石炭系,上石炭统,太原组
Z68,39482737.02,3851418.06,38.2,煤,275.49,275.85,石炭系,上石炭统,太原组
Z69,39484500.95,3852948.51,37.97,9煤,589.83,593.78,二叠系,下二叠统,山西组
Z8,39486511.78,3852370.44,37.38,9煤,275.71,280.21,二叠系,下二叠统,山西组
Z8,39486511.78,3852370.44,37.38,煤,332.85,381.8,石炭系,上石炭统,太原组
Z9,39486446.43,3852690.36,37.68,9煤,440.75,445.0,二叠系,下二叠统,山西组
Z9,39486446.43,3852690.36,37.68,煤,490.1,490.5,石炭系,上石炭统,太原组